N,N0,μ,r,update,confint,gradient
20,1,0.01,20.0,asymmetric,1.2619418832658853,1.3961076887755097
20,1,0.01,20.0,Moran,1.2998503512189732,2.245296028061222
20,1,0.01,40.0,asymmetric,1.20450061701825,1.4575262678571448
20,1,0.01,40.0,Moran,1.396456364799815,2.2289898520408182
20,1,1.0,2.5,asymmetric,87.2666745485751,123.85653166697585
20,1,1.0,2.5,Moran,136.25992539990452,236.03934434438776
20,1,1.0,5.0,asymmetric,79.21842408193419,126.70557349999996
20,1,1.0,5.0,Moran,130.00998937182328,232.94791921173478
20,1,1.0,10.0,asymmetric,85.6649873392035,131.63459478826542
20,1,1.0,10.0,Moran,132.22279909547711,229.33750084949008
20,1,1.0,20.0,asymmetric,81.75478649192824,138.35646580102036
20,1,1.0,20.0,Moran,126.54477773053955,224.79723632142822
20,1,1.0,40.0,asymmetric,82.19222060470113,146.63336259183706
20,1,1.0,40.0,Moran,123.0859544474489,220.83338718112267
20,2,0.01,2.5,asymmetric,1.9916297957354043,1.2432168087775919
20,2,0.01,2.5,Moran,1.6838850815573347,2.3748974336734716
20,2,0.01,5.0,asymmetric,1.1441786593428571,1.2885826913265284
20,2,0.01,5.0,Moran,2.233105371126828,2.3729369056122485
20,2,0.01,10.0,asymmetric,0.8438215589946769,1.3232458316326523
20,2,0.01,10.0,Moran,2.0945125393821953,2.351955038265309
20,2,0.01,20.0,asymmetric,0.8317404899798387,1.4024256122448986
20,2,0.01,20.0,Moran,1.6519672275635262,2.306287966836734
20,2,0.01,40.0,asymmetric,1.2323677630929284,1.4982909540816312
20,2,0.01,40.0,Moran,2.118533587895427,2.285070198979596
20,2,1.0,2.5,asymmetric,129.08307223675718,123.8723035816326
20,2,1.0,2.5,Moran,144.45655849687336,237.99433132142855
20,2,1.0,5.0,asymmetric,96.52470576171906,127.0952366683673
20,2,1.0,5.0,Moran,140.508846794399,236.60948562499988
20,2,1.0,10.0,asymmetric,88.72506951238611,132.40225421938788
20,2,1.0,10.0,Moran,141.27093859602667,233.89833858928537
20,2,1.0,20.0,asymmetric,80.7708773004239,140.3449428418368
20,2,1.0,20.0,Moran,136.52166512491027,231.23807551275502
20,2,1.0,40.0,asymmetric,88.09920366859977,150.69613916836775
20,2,1.0,40.0,Moran,130.3293710399911,228.54481066071384
20,10,0.01,2.5,asymmetric,3.436564126196857,1.230407892857144
20,10,0.01,2.5,Moran,1.9791424702951161,2.4141446249999934
20,10,0.01,5.0,asymmetric,1.837179702260681,1.2472975790816323
20,10,0.01,5.0,Moran,2.628486409072347,2.3905052933673505
20,10,0.01,10.0,asymmetric,1.14843865754262,1.293171808673471
20,10,0.01,10.0,Moran,1.5673226119708572,2.416144339285716
20,10,0.01,20.0,asymmetric,1.2274300326836098,1.3905478571428596
20,10,0.01,20.0,Moran,2.0451840669264882,2.3802485816326575
20,10,0.01,40.0,asymmetric,1.9099566866987887,1.5143527219387733
20,10,0.01,40.0,Moran,1.6163088135105632,2.358556145408163
20,10,1.0,2.5,asymmetric,292.82783112870646,122.65431608333336
20,10,1.0,2.5,Moran,141.5741431955565,239.21533324639304
20,10,1.0,5.0,asymmetric,193.77514131904042,125.80324044642846
20,10,1.0,5.0,Moran,138.800138776332,239.17332563265276
20,10,1.0,10.0,asymmetric,139.18661298378115,130.5765324413264
20,10,1.0,10.0,Moran,143.243739537112,238.4933409285716
20,10,1.0,20.0,asymmetric,114.88681161643987,138.4901021147961
20,10,1.0,20.0,Moran,134.1892630484485,237.43441912500015
20,10,1.0,40.0,asymmetric,106.39882781143697,150.34749476785728
20,10,1.0,40.0,Moran,130.75200267826546,236.1892291734693
100,1,0.01,2.5,asymmetric,1.3602733570229257,1.2677851352040859
100,1,0.01,2.5,Moran,1.782276711256948,2.367843438775509
100,1,0.01,5.0,asymmetric,0.8204211215533167,1.3156444923469388
100,1,0.01,5.0,Moran,1.8544162461749518,2.318503969387766
100,1,0.01,10.0,asymmetric,1.189568523416257,1.3837863443877558
100,1,0.01,10.0,Moran,1.516149220429033,2.3189295688775466
100,1,0.01,20.0,asymmetric,1.212297261880571,1.467596801020407
100,1,0.01,20.0,Moran,1.5034037600492198,2.2646778392857105
100,1,0.01,40.0,asymmetric,1.1728074596294524,1.556906665816328
100,1,0.01,40.0,Moran,1.0499925342661873,2.225240252551023
100,1,1.0,2.5,asymmetric,88.29503078558092,126.2821320535715
100,1,1.0,2.5,Moran,162.95974306294886,236.10556694229038
100,1,1.0,5.0,asymmetric,86.26748187387693,131.41335821428564
100,1,1.0,5.0,Moran,139.08197263292038,233.33692086989845
100,1,1.0,10.0,asymmetric,80.32390705779429,138.21370778571423
100,1,1.0,10.0,Moran,131.41280190170994,229.95006421938848
100,1,1.0,20.0,asymmetric,85.46849886221261,147.00320171428575
100,1,1.0,20.0,Moran,124.46491274521645,226.59823815561265
100,1,1.0,40.0,asymmetric,83.77066914174405,155.87942964285705
100,1,1.0,40.0,Moran,127.26758388315505,223.96735150255114
100,2,0.01,2.5,asymmetric,1.7283224848182517,1.269971426020408
100,2,0.01,2.5,Moran,2.691523940660726,2.3821129478022
100,2,0.01,5.0,asymmetric,1.463953121084829,1.324824604591838
100,2,0.01,5.0,Moran,2.3726909882205938,2.3436203928571486
100,2,0.01,10.0,asymmetric,1.1942657412700088,1.391298278061223
100,2,0.01,10.0,Moran,2.6900064868014706,2.339988270408163
100,2,0.01,20.0,asymmetric,0.9749036719363273,1.4925055816326478
100,2,0.01,20.0,Moran,1.9040292286267562,2.327918650510203
100,2,0.01,40.0,asymmetric,1.4885906071235955,1.5883735459183679
100,2,0.01,40.0,Moran,1.3532456907838015,2.309920579081635
100,2,1.0,2.5,asymmetric,136.05192407967488,126.86633955496369
100,2,1.0,2.5,Moran,169.50786441013722,237.53966516234826
100,2,1.0,5.0,asymmetric,103.75392558212414,131.96921332142836
100,2,1.0,5.0,Moran,167.61733822703613,236.4630836428573
100,2,1.0,10.0,asymmetric,94.27278264141921,139.6322260280612
100,2,1.0,10.0,Moran,153.94782976758205,234.53834238775528
100,2,1.0,20.0,asymmetric,93.90167502518105,149.41586656122433
100,2,1.0,20.0,Moran,153.22403746255782,232.55890883163246
100,2,1.0,40.0,asymmetric,95.28618988477781,159.76260659438756
100,2,1.0,40.0,Moran,141.92240161587534,230.78997808418404
100,50,0.01,2.5,asymmetric,9.784781577013401,1.1700297908163264
100,50,0.01,2.5,Moran,3.1676525581396655,2.398630804471792
100,50,0.01,5.0,asymmetric,6.20421110084835,1.2255497474489805
100,50,0.01,5.0,Moran,2.385899292356946,2.399205227040816
100,50,0.01,10.0,asymmetric,4.5157773041098945,1.320931655612248
100,50,0.01,10.0,Moran,2.8051947708485137,2.3971232627551027
100,50,0.01,20.0,asymmetric,3.2218463290177435,1.4080984081632695
100,50,0.01,20.0,Moran,1.9615013908936416,2.388930885204079
100,50,0.01,40.0,asymmetric,2.4853101685833803,1.5182668928571414
100,50,0.01,40.0,Moran,1.7166384339619372,2.37420277551021
100,50,1.0,2.5,asymmetric,996.4446483294391,117.22521346173461
100,50,1.0,2.5,Moran,215.89182153273134,239.91094019812917
100,50,1.0,5.0,asymmetric,637.9641132960822,124.24180727551024
100,50,1.0,5.0,Moran,214.91363239038225,239.69117108418365
100,50,1.0,10.0,asymmetric,409.56920083018844,130.68461707397964
100,50,1.0,10.0,Moran,214.9003716062872,239.65282801530608
100,50,1.0,20.0,asymmetric,290.90497877826425,139.98667430357145
100,50,1.0,20.0,Moran,206.2427744433545,239.4371312500002
100,50,1.0,40.0,asymmetric,232.67331895173908,152.88516457908185
100,50,1.0,40.0,Moran,203.41987960536497,239.049615696429
