N,N0,μ,r,update,confint,gradient
20,2,1.0,10.0,asymmetric,91.3051996669262,132.0180717346938
20,2,1.0,10.0,Moran,148.06053222127284,234.23313545918342
20,2,1.0,20.0,asymmetric,82.52893276019013,138.42166483418364
20,2,1.0,20.0,Moran,124.7646020571523,231.0009291198978
20,2,1.0,40.0,asymmetric,88.2742077844942,148.30866684948978
20,2,1.0,40.0,Moran,160.42550910262037,229.18564512755123
20,10,0.01,2.5,asymmetric,4.774469542949986,1.1924255867346933
20,10,0.01,2.5,Moran,1.688529737518464,2.395912653061223
20,10,0.01,5.0,asymmetric,3.7495718226999184,1.2422384821428567
20,10,0.01,5.0,Moran,2.2833354400030856,2.404019285714289
20,10,0.01,10.0,asymmetric,3.559294752844173,1.2635728826530606
20,10,0.01,10.0,Moran,1.3585473147532257,2.3906917474489795
20,10,0.01,20.0,asymmetric,1.9898512228493366,1.3293204081632652
20,10,0.01,20.0,Moran,1.6215343312882857,2.404134668367347
20,10,0.01,40.0,asymmetric,1.766280273507905,1.3778589158163257
20,10,0.01,40.0,Moran,3.466018616898073,2.392353775510206
20,10,1.0,2.5,asymmetric,500.6771467374877,120.1817504974488
20,10,1.0,2.5,Moran,133.31157098732538,239.25463304846917
20,10,1.0,5.0,asymmetric,289.38087008469734,122.18032973214285
20,10,1.0,5.0,Moran,167.45455199607264,239.8989507015304
20,10,1.0,10.0,asymmetric,194.39834976876648,125.06953719387758
20,10,1.0,10.0,Moran,163.70163803129867,239.41953223214267
20,10,1.0,20.0,asymmetric,137.48266398963955,129.9030247066326
20,10,1.0,20.0,Moran,160.16335100259568,238.32085368622444
20,10,1.0,40.0,asymmetric,116.75144255631415,136.96343489795925
20,10,1.0,40.0,Moran,157.7809471213705,238.3496389795921
100,1,0.01,2.5,asymmetric,1.7400033988618042,1.2667776658163277
100,1,0.01,2.5,Moran,2.8997540804579396,2.3769106887755096
100,1,0.01,5.0,asymmetric,1.8781989275256432,1.2930263647959177
100,1,0.01,5.0,Moran,1.5398225411335162,2.35833987244898
100,1,0.01,10.0,asymmetric,2.387781837091325,1.3867269260204071
100,1,0.01,10.0,Moran,1.7244595589934946,2.243121530612245
100,1,0.01,20.0,asymmetric,1.3575318955508742,1.4873559948979584
100,1,0.01,20.0,Moran,2.429370996134568,2.2750632270408144
100,1,0.01,40.0,asymmetric,1.761439047534393,1.550411033163266
100,1,0.01,40.0,Moran,1.1175961520051492,2.225458150510203
100,1,1.0,2.5,asymmetric,103.01126947327992,126.1103000892856
100,1,1.0,2.5,Moran,162.0375154822435,236.29524498724464
100,1,1.0,5.0,asymmetric,86.79785116304883,131.3771277678571
100,1,1.0,5.0,Moran,168.12556471151166,233.41065536989782
100,1,1.0,10.0,asymmetric,76.67483474377664,138.040658877551
100,1,1.0,10.0,Moran,147.46369024608288,229.7784333545918
100,1,1.0,20.0,asymmetric,82.4811267021751,147.01313355867336
100,1,1.0,20.0,Moran,142.08752683841504,226.21960817602036
100,1,1.0,40.0,asymmetric,100.86653834329283,155.41860437500003
100,1,1.0,40.0,Moran,132.69807671560665,224.249467028061
100,2,0.01,2.5,asymmetric,2.327480250504962,1.3102371301020392
100,2,0.01,2.5,Moran,2.3584590523537035,2.3884525000000005
100,2,0.01,5.0,asymmetric,0.5942277925962018,1.3004740306122453
100,2,0.01,5.0,Moran,1.714167028637847,2.381591224489798
100,2,0.01,10.0,asymmetric,1.0519480684373514,1.343345293367347
100,2,0.01,10.0,Moran,1.970593346900679,2.3554732908163247
100,2,0.01,20.0,asymmetric,0.11060007790648918,1.4678031122448956
100,2,0.01,20.0,Moran,2.904031124103795,2.312856454081633
100,2,0.01,40.0,asymmetric,0.8610611523820962,1.593105459183673
100,2,0.01,40.0,Moran,2.1346105625654155,2.331268061224487
100,2,1.0,2.5,asymmetric,140.0544399200886,126.50922998724494
100,2,1.0,2.5,Moran,189.86974367806891,238.08154557397987
100,2,1.0,5.0,asymmetric,111.53152573207078,131.43307734693886
100,2,1.0,5.0,Moran,168.18855293368938,236.88021801020392
100,2,1.0,10.0,asymmetric,98.21294771596038,139.26191610969386
100,2,1.0,10.0,Moran,168.18574009517448,234.13995080357094
100,2,1.0,20.0,asymmetric,103.00171033383984,148.75784423469395
100,2,1.0,20.0,Moran,142.8617461570849,232.24712677295918
100,2,1.0,40.0,asymmetric,99.85262816068439,159.10910006377568
100,2,1.0,40.0,Moran,146.1556134444936,231.42660665816345
100,50,0.01,2.5,asymmetric,13.645966310485926,1.0369506760204072
100,50,0.01,2.5,Moran,3.0385033923102984,2.3737319642857173
100,50,0.01,5.0,asymmetric,10.363133526217098,1.1867528571428565
100,50,0.01,5.0,Moran,3.394970416176295,2.394187079081632
100,50,0.01,10.0,asymmetric,6.820641702202705,1.2127530994897953
100,50,0.01,10.0,Moran,2.3643720741516727,2.3858394770408133
100,50,0.01,20.0,asymmetric,3.4975816090582,1.270036364795917
